序号| 最后一次  |次数 | 歌名 
202 |2019-05-06 | 54  | 爱的魔法
203 |2019-05-06 | 47  | 你就不要想起我
204 |2019-05-06 | 14  | 爱啦啦
205 |2019-05-06 | 13  | 痒
206 |2019-05-06 | 12  | 灞波儿奔奔波儿灞
207 |2019-05-06 | 5   | fire fly
208 |2019-05-05 | 98  | 光年之外
209 |2019-05-05 | 30  | 后来
210 |2019-05-05 | 28  | 阿刁
211 |2019-05-05 | 26  | 泡沫
212 |2019-05-05 | 20  | 九张机
213 |2019-05-05 | 14  | 起风了
214 |2019-05-05 | 1   | 祝我生日快乐
215 |2019-05-03 | 31  | 爱河
216 |2019-05-03 | 23  | 不醉不会
217 |2019-05-03 | 15  | 女儿情
218 |2019-05-03 | 15  | what are words
219 |2019-05-03 | 11  | 天竺少女
220 |2019-05-03 | 6   | 套马杆
221 |2019-05-03 | 5   | 江湖儿女
222 |2019-05-03 | 2   | 你是风儿我是沙
223 |2019-04-30 | 38  | 远走高飞
224 |2019-04-30 | 31  | 哼
225 |2019-04-30 | 26  | let me love you & faded
226 |2019-04-30 | 22  | 还有我
227 |2019-04-30 | 22  | 是什么让我遇见这样的你
228 |2019-04-30 | 21  | wake me up
229 |2019-04-30 | 19  | 走在冷风中
230 |2019-04-30 | 13  | 元气满满
231 |2019-04-29 | 36  | 成全
232 |2019-04-29 | 29  | 红色高跟鞋
233 |2019-04-29 | 19  | 逆战
234 |2019-04-29 | 19  | 独照
235 |2019-04-29 | 12  | 让她降落
236 |2019-04-29 | 12  | pam pam
237 |2019-04-29 | 8   | 遗失的美好
238 |2019-04-29 | 7   | 潇洒走一回
239 |2019-04-29 | 5   | trouble is a friend
240 |2019-04-29 | 4   | chandelier
241 |2019-04-29 | 1   | heart attack
242 |2019-04-29 | 1   | 贼
243 |2019-04-29 | 1   | 如果爱
244 |2019-04-26 | 46  | 易燃易爆炸
245 |2019-04-26 | 25  | 电台情歌
246 |2019-04-26 | 22  | 男孩
247 |2019-04-26 | 15  | 回到过去
248 |2019-04-26 | 14  | 我的世界
249 |2019-04-26 | 14  | 梦里水乡
250 |2019-04-26 | 14  | 追梦人
251 |2019-04-26 | 7   | 第一天
252 |2019-04-26 | 7   | 谁
253 |2019-04-26 | 7   | 冰雪节
254 |2019-04-26 | 3   | 最熟悉的陌生人
255 |2019-04-23 | 48  | 再见前任
256 |2019-04-23 | 24  | 吴哥窟
257 |2019-04-23 | 23  | 倒数
258 |2019-04-23 | 22  | 你会爱我到什么时候
259 |2019-04-23 | 20  | 不仅仅是喜欢
260 |2019-04-23 | 11  | 星月神话
261 |2019-04-23 | 10  | 被驯服的象
262 |2019-04-23 | 8   | 大地飞歌
263 |2019-04-23 | 8   | 爱拼才会赢
264 |2019-04-23 | 5   | melody
265 |2019-04-23 | 5   | 我是我的情人
266 |2019-04-23 | 3   | 证据
267 |2019-04-23 | 2   | 一个人生活
268 |2019-04-19 | 20  | 第一次
269 |2019-04-19 | 14  | 不染
270 |2019-04-19 | 5   | 你的微笑
271 |2019-04-18 | 53  | 我喜欢上你时的内心活动
272 |2019-04-18 | 17  | 房间
273 |2019-04-18 | 15  | 画心
274 |2019-04-18 | 13  | 触电
275 |2019-04-18 | 11  | 月牙湾
276 |2019-04-18 | 8   | 靠近一点点
277 |2019-04-18 | 7   | complicated
278 |2019-04-18 | 6   | 不痛
279 |2019-04-18 | 1   | 别那么骄傲
280 |2019-04-17 | 29  | 一直很安静
281 |2019-04-17 | 11  | 岁月神偷
282 |2019-04-17 | 2   | don't let me down
283 |2019-04-16 | 58  | 三月
284 |2019-04-16 | 29  | 别问我是谁
285 |2019-04-16 | 21  | 空城
286 |2019-04-16 | 17  | 非你不爱
287 |2019-04-16 | 12  | if you
288 |2019-04-13 | 24  | waka waka
289 |2019-04-13 | 20  | 小鸡哔哔
290 |2019-04-13 | 11  | 舞女泪
291 |2019-04-13 | 11  | 我很快乐
292 |2019-04-13 | 8   | 胆小鬼
293 |2019-04-02 | 37  | 空港
294 |2019-04-02 | 28  | 日常
295 |2019-04-02 | 4   | 气球
296 |2019-04-02 | 3   | fly away
297 |2019-04-02 | 3   | 左边
298 |2019-04-02 | 1   | 火红的萨日朗
299 |2019-03-31 | 25  | 吉祥三宝
300 |2019-03-31 | 18  | 有何不可
301 |2019-03-31 | 12  | 钟无艳
302 |2019-03-31 | 2   | 越来越爱
303 |2019-03-28 | 51  | 非酋
304 |2019-03-28 | 8   | 为爱痴狂
305 |2019-03-27 | 28  | 相思
306 |2019-03-27 | 16  | 给我一个理由忘记
307 |2019-03-27 | 13  | 咖喱咖喱
308 |2019-03-27 | 10  | my dilemma
309 |2019-03-27 | 5   | 即使知道要见面
310 |2019-03-27 | 4   | 相依为命
311 |2019-03-27 | 4   | 我们的纪念
312 |2019-03-27 | 2   | 依然爱你
313 |2019-03-26 | 23  | 小半
314 |2019-03-26 | 10  | 我终于失去了你
315 |2019-03-26 | 3   | 出山
316 |2019-03-26 | 2   | 你知道我在等你吗
317 |2019-03-24 | 20  | 从前慢
318 |2019-03-24 | 4   | 同桌的你
319 |2019-03-22 | 30  | love you like a love song
320 |2019-03-22 | 17  | 边走边爱
321 |2019-03-22 | 12  | 小小
322 |2019-03-22 | 12  | 爱你就等于爱自己
323 |2019-03-22 | 7   | 木头的心
324 |2019-03-22 | 6   | 亲爱的你怎么不在我身边
325 |2019-03-22 | 6   | 过火
326 |2019-03-22 | 5   | 真的爱你
327 |2019-03-22 | 3   | burn
328 |2019-03-22 | 3   | 说谎
329 |2019-03-22 | 2   | 赤道与北极
330 |2019-03-22 | 2   | 狐狸精
331 |2019-03-22 | 1   | everytime
332 |2019-03-20 | 13  | 传奇
333 |2019-03-20 | 11  | 爱要怎么说出口
334 |2019-03-20 | 7   | 叶子
335 |2019-03-20 | 6   | 给你看
336 |2019-03-20 | 6   | 让我留在你身边
337 |2019-03-20 | 6   | 安静
338 |2019-03-20 | 6   | 爱一点
339 |2019-03-20 | 3   | 遥不可及的你
340 |2019-03-20 | 3   | 请先说你好
341 |2019-03-20 | 2   | 淘汰
342 |2019-03-20 | 2   | 迷魂计
343 |2019-03-20 | 1   | 雨爱
344 |2019-03-16 | 14  | 漂洋过海来看你
345 |2019-03-16 | 13  | burning
346 |2019-03-16 | 9   | 天涯
347 |2019-03-16 | 7   | 下一站天后
348 |2019-03-16 | 6   | 十年
349 |2019-03-16 | 6   | 小情歌
350 |2019-03-16 | 4   | 下坠falling
351 |2019-03-16 | 3   | you raise me up
352 |2019-03-16 | 2   | all falls down
353 |2019-03-16 | 1   | 火
354 |2019-03-15 | 22  | 当你老了
355 |2019-03-14 | 14  | 天下有情人
356 |2019-03-14 | 8   | 旋木
357 |2019-03-14 | 7   | 日不落
358 |2019-03-14 | 7   | innocence
359 |2019-03-14 | 3   | 野孩子
360 |2019-03-14 | 3   | 他和她
361 |2019-03-14 | 1   | hello
362 |2019-03-13 | 33  | 红昭愿
363 |2019-03-13 | 11  | 下雨天
364 |2019-03-13 | 6   | 桃花诺
365 |2019-03-11 | 34  | 再见
366 |2019-03-11 | 6   | 眉间雪
367 |2019-03-11 | 4   | 寂寞在唱歌
368 |2019-03-11 | 4   | 可不可以
369 |2019-03-11 | 1   | 踏浪
370 |2019-03-10 | 45  | 识食物者为俊杰
371 |2019-03-10 | 7   | 失落沙洲
372 |2019-03-10 | 7   | 我们的爱
373 |2019-03-10 | 5   | 当你走了
374 |2019-03-10 | 1   | solo
375 |2019-03-08 | 8   | 梦的游戏
376 |2019-03-08 | 5   | 稻香
377 |2019-03-08 | 4   | 红玫瑰
378 |2019-03-08 | 2   | 你，好不好
